,Image Names,Number of Cracks,Type D00,Type D01,Type D10,Type D11,Type D20,Type D40,Type D43,Type D44,Average Detection Score,Maximum Detection Score,Minimum Detection Score,Average Crack Region Percentage,Maximum Crack Region Percentage,Minimum Crack Region Percentage,Average Size of Cracks,Maximum Size of Cracks,Minimum Size of Cracks
123,_-LxaZzMQfGRunymT-FAFA,1,,,,,,,,1,0.75,0.75,0.75,0.224765625,0.224765625,0.224765625,,,
124,_4mo_VBHeowhlOHflU0d2Q,1,,,,,,,,1,0.79,0.79,0.79,0.285484375,0.285484375,0.285484375,,,
125,_06ZQN9g48Xg38f4-pLyDw,2,,,,,,,,2,0.4266666666666667,0.49,0.3,0.16856875000000002,0.209540625,0.086625,,,
126,_4HsF4AIglevqWCbZISg3w,3,,,,,,,,3,0.6100000000000001,0.65,0.55,0.1748484375,0.33105625,0.116725,,,
127,_7IYdWbWAA87CaDMiunacw,1,,,,,,,,1,0.7,0.7,0.7,0.2358,0.2358,0.2358,,,
128,_CteJ_BZw-IRVv4lowYu-g,,,,,,,,,,,,,,,,,,
129,_bIHyTpT5-PnhINORj-cRg,2,,,,,,,,2,0.5433333333333333,0.63,0.37,0.15758229166666668,0.256746875,0.108,,,
130,_-56dKTlDk3hmn2QNYAWZA,,,,,,,,,,,,,,,,,,
131,_EjKeWaLCN4cXLlQfDC2gA,1,,,,,,,,1,0.92,0.92,0.92,0.3597375,0.3597375,0.3597375,,,
132,__UKwnouswemmb-r2sLMnA,2,,,,,,,1,1,0.8300000000000001,0.85,0.79,0.15866666666666665,0.22325,0.126375,,,
133,_1rMhdtOe7Tl3kAbmZhMcw,,,,,,,,,,,,,,,,,,
134,_bH-KMnsUfRC_wtwJU1_Ow,1,,,,,,,,1,0.38,0.38,0.38,0.028875,0.028875,0.028875,,,
135,34,1,,1,,,,,,,0.33,0.33,0.33,0.078375,0.078375,0.078375,,,
136,20,,,,,,,,,,,,,,,,,,
137,36,2,,2,,,,,,,0.3566666666666667,0.38,0.31,0.06764285714285714,0.084375,0.034178571428571426,,,
138,22,1,,,,,1,,,,0.7,0.7,0.7,0.23957142857142857,0.23957142857142857,0.23957142857142857,,,
